Region,Year,Month,Day,Thermal Generation Actual (in MU),Hydro Generation Actual (in MU)
Western,2018,6,10,1165.4,16.99
Southern,2018,6,10,604.53,38.45
Eastern,2018,6,10,472.92,53.41
NorthEastern,2018,6,10,30.25,21.71
Northern,2018,6,11,667.8,303.99
Western,2018,6,11,1165.4,16.99
Southern,2018,6,11,604.53,38.45
Eastern,2018,6,11,472.92,53.41
NorthEastern,2018,6,11,30.25,21.71
Northern,2018,6,12,667.8,303.99
Western,2018,6,12,1159.95,16.99
Southern,2018,6,12,604.53,38.45
Eastern,2018,6,12,469.74,53.41
NorthEastern,2018,6,12,30.25,21.71
Northern,2018,6,13,667.8,303.99
Western,2018,6,13,1150.87,16.99
Southern,2018,6,13,604.53,38.45
Eastern,2018,6,13,469.74,53.41
NorthEastern,2018,6,13,30.25,21.71
Northern,2018,6,14,667.8,303.99
Western,2018,6,14,1150.87,16.99
Southern,2018,6,14,604.53,38.45
Eastern,2018,6,14,469.74,53.41
NorthEastern,2018,6,14,30.25,21.71
Northern,2018,6,15,667.8,303.99
Western,2018,6,15,1153.43,16.99
Southern,2018,6,15,581.6,38.45
Eastern,2018,6,15,469.74,53.41
NorthEastern,2018,6,15,30.25,21.71
Northern,2018,6,16,667.8,303.99
Western,2018,6,16,1138.23,16.99
Southern,2018,6,16,585.2,38.45
Eastern,2018,6,16,469.74,53.41
NorthEastern,2018,6,16,30.25,21.71
Northern,2018,6,17,667.8,303.99
Western,2018,6,17,1138.23,16.99
Southern,2018,6,17,585.2,38.45
Eastern,2018,6,17,469.74,53.41
NorthEastern,2018,6,17,30.25,21.71
Northern,2018,6,18,667.8,303.99
Western,2018,6,18,1140.92,16.99
Southern,2018,6,18,585.2,38.45
Eastern,2018,6,18,469.74,53.41
NorthEastern,2018,6,18,30.25,21.71
Northern,2018,6,19,667.94,303.99
Western,2018,6,19,1140.92,16.99
Southern,2018,6,19,585.2,38.45
Eastern,2018,6,19,469.74,53.41
NorthEastern,2018,6,19,30.25,21.71
Northern,2018,6,20,664.82,303.99
Western,2018,6,20,1140.92,16.99
Southern,2018,6,20,585.2,38.45
Eastern,2018,6,20,469.74,53.41
NorthEastern,2018,6,20,30.25,21.71
Northern,2018,6,21,664.82,303.99
Western,2018,6,21,1125.32,16.99
Southern,2018,6,21,585.6,38.45
Eastern,2018,6,21,476.94,53.41
NorthEastern,2018,6,21,30.25,21.71
Northern,2018,6,22,665.68,303.99
Western,2018,6,22,1125.32,16.99
Southern,2018,6,22,584.98,38.45
Eastern,2018,6,22,476.94,53.41
NorthEastern,2018,6,22,30.25,21.71
Northern,2018,6,23,665.68,303.99
Western,2018,6,23,1125.32,16.99
Southern,2018,6,23,571.34,38.45
Eastern,2018,6,23,476.94,53.41
NorthEastern,2018,6,23,30.25,21.71
Northern,2018,6,24,665.68,303.99
Western,2018,6,24,1136.32,16.99
Southern,2018,6,24,567.99,38.45
Eastern,2018,6,24,473.11,53.41
NorthEastern,2018,6,24,30.25,21.71
Northern,2018,6,25,658.72,303.99
Western,2018,6,25,1140.27,16.99
Southern,2018,6,25,567.99,38.45
Eastern,2018,6,25,464.19,53.41
NorthEastern,2018,6,25,30.25,21.71
Northern,2018,6,26,658.72,303.99
Western,2018,6,26,1146.67,16.99
Southern,2018,6,26,576.99,38.45
Eastern,2018,6,26,463.11,53.41
NorthEastern,2018,6,26,30.25,21.71
Northern,2018,6,27,658.72,303.99
Western,2018,6,27,1162.72,16.99
Southern,2018,6,27,576.99,38.45
Eastern,2018,6,27,463.11,53.41
NorthEastern,2018,6,27,30.25,21.71
Northern,2018,6,28,658.72,303.99
Western,2018,6,28,1162.72,16.99
Southern,2018,6,28,576.99,38.45
Eastern,2018,6,28,463.11,53.41
NorthEastern,2018,6,28,30.25,21.71
Northern,2018,6,29,658.72,303.99
Western,2018,6,29,1162.72,16.99
Southern,2018,6,29,572.88,38.45
Eastern,2018,6,29,463.11,53.41
NorthEastern,2018,6,29,30.25,21.71
Northern,2018,6,30,658.72,303.99
Western,2018,6,30,1162.72,16.99
Southern,2018,6,30,572.88,38.45
Eastern,2018,6,30,463.11,53.41
NorthEastern,2018,6,30,30.25,21.71
Northern,2018,7,1,645.49,314.44
Western,2018,7,1,1094.62,21.91
Southern,2018,7,1,544.82,62.52
Eastern,2018,7,1,454.23,69.16
NorthEastern,2018,7,1,30.1,30.46
Northern,2018,7,2,645.3,314.44
Western,2018,7,2,1094.62,21.91
Southern,2018,7,2,544.82,62.52
Eastern,2018,7,2,454.23,69.16
NorthEastern,2018,7,2,30.1,30.46
Northern,2018,7,3,644.14,314.44
Western,2018,7,3,1094.62,21.91
Southern,2018,7,3,544.82,62.52
Eastern,2018,7,3,449.73,69.16
NorthEastern,2018,7,3,30.1,30.46
Northern,2018,7,4,644.14,314.44
Western,2018,7,4,1094.62,21.91
Southern,2018,7,4,541.49,62.52
Eastern,2018,7,4,449.73,69.16
NorthEastern,2018,7,4,30.1,30.46
Northern,2018,7,5,644.14,314.44
Western,2018,7,5,1084.37,21.91
Southern,2018,7,5,541.49,62.52
Eastern,2018,7,5,446.73,69.16
NorthEastern,2018,7,5,30.1,30.46
Northern,2018,7,6,645.02,314.44
Western,2018,7,6,1099.95,21.91
Southern,2018,7,6,541.49,62.52
Eastern,2018,7,6,446.73,69.16
NorthEastern,2018,7,6,30.1,30.46
Northern,2018,7,7,645.02,314.44
Western,2018,7,7,1086.95,21.91
Southern,2018,7,7,541.49,62.52
Eastern,2018,7,7,446.73,69.16
NorthEastern,2018,7,7,30.1,30.46
Northern,2018,7,8,641.42,314.44
Western,2018,7,8,1112.08,21.91
Southern,2018,7,8,541.49,62.52
Eastern,2018,7,8,446.73,69.16
NorthEastern,2018,7,8,30.1,30.46
Northern,2018,7,9,647.51,314.44
Western,2018,7,9,1112.08,21.91
Southern,2018,7,9,541.59,62.52
Eastern,2018,7,9,446.73,69.16
NorthEastern,2018,7,9,30.1,30.46
Northern,2018,7,10,633.21,314.44
Western,2018,7,10,1107.14,21.91
Southern,2018,7,10,537.37,62.52
Eastern,2018,7,10,443.4,69.16
NorthEastern,2018,7,10,30.1,30.46
Northern,2018,7,11,633.4,314.44
Western,2018,7,11,1107.14,21.91
Southern,2018,7,11,546.61,62.52
Eastern,2018,7,11,443.4,69.16
NorthEastern,2018,7,11,30.1,30.46
Northern,2018,7,12,633.4,314.44
Western,2018,7,12,1107.14,21.91
Southern,2018,7,12,547.26,62.52
Eastern,2018,7,12,443.4,69.16
NorthEastern,2018,7,12,30.1,30.46
Northern,2018,7,13,633.4,314.44
Western,2018,7,13,1107.14,21.91
Southern,2018,7,13,547.26,62.52
Eastern,2018,7,13,446.35,69.16
NorthEastern,2018,7,13,30.1,30.46
Northern,2018,7,14,633.4,314.44
Western,2018,7,14,1107.14,21.91
Southern,2018,7,14,547.26,62.52
Eastern,2018,7,14,446.35,69.16
NorthEastern,2018,7,14,30.1,30.46
Northern,2018,7,15,637.99,314.44
Western,2018,7,15,1103.64,21.91
Southern,2018,7,15,536.69,62.52
Eastern,2018,7,15,445.06,69.16
NorthEastern,2018,7,15,30.1,30.46
Northern,2018,7,16,634.79,314.44
Western,2018,7,16,1118.83,21.91
Southern,2018,7,16,546.4,62.52
Eastern,2018,7,16,445.06,69.16
NorthEastern,2018,7,16,30.1,30.46
Northern,2018,7,17,634.98,314.44
Western,2018,7,17,1117.9,21.91
Southern,2018,7,17,549.87,62.52
Eastern,2018,7,17,445.06,69.16
NorthEastern,2018,7,17,30.1,30.46
Northern,2018,7,18,634.98,314.44
Western,2018,7,18,1128.11,21.91
Southern,2018,7,18,549.87,62.52
Eastern,2018,7,18,445.06,69.16
NorthEastern,2018,7,18,30.1,30.46
Northern,2018,7,19,634.98,314.44
Western,2018,7,19,1128.11,21.91
Southern,2018,7,19,549.87,62.52
Eastern,2018,7,19,445.06,69.16
NorthEastern,2018,7,19,30.1,30.46
Northern,2018,7,20,637.23,314.44
Western,2018,7,20,1129.73,21.91
Southern,2018,7,20,559.87,62.52
Eastern,2018,7,20,445.06,69.16
NorthEastern,2018,7,20,30.1,30.46
Northern,2018,7,21,637.23,314.44
Western,2018,7,21,1120.84,21.91
Southern,2018,7,21,564.78,62.52
Eastern,2018,7,21,445.06,69.16
NorthEastern,2018,7,21,30.1,30.46
Northern,2018,7,22,650.83,314.44
Western,2018,7,22,1117.89,21.91
Southern,2018,7,22,573.78,62.52
Eastern,2018,7,22,445.06,69.16
NorthEastern,2018,7,22,30.1,30.46
Northern,2018,7,23,650.83,314.44
Western,2018,7,23,1116.71,21.91
Southern,2018,7,23,582.56,62.52
Eastern,2018,7,23,445.06,69.16
NorthEastern,2018,7,23,30.1,30.46
Northern,2018,7,24,650.83,314.44
Western,2018,7,24,1088.1,21.91
Southern,2018,7,24,572.08,62.52
Eastern,2018,7,24,445.06,69.16
NorthEastern,2018,7,24,30.1,30.46
Northern,2018,7,25,650.83,314.44
Western,2018,7,25,1090.53,21.91
Southern,2018,7,25,568.08,62.52
Eastern,2018,7,25,450.92,69.16
NorthEastern,2018,7,25,30.1,30.46
Northern,2018,7,26,658.16,314.44
Western,2018,7,26,1108.21,21.91
Southern,2018,7,26,573.65,62.52
Eastern,2018,7,26,452.09,69.16
NorthEastern,2018,7,26,30.1,30.46
Northern,2018,7,27,658.16,314.44
Western,2018,7,27,1108.21,21.91
Southern,2018,7,27,573.65,62.52
Eastern,2018,7,27,452.09,69.16
NorthEastern,2018,7,27,30.1,30.46
Northern,2018,7,28,658.16,314.44
Western,2018,7,28,1097.91,21.91
Southern,2018,7,28,573.65,62.52
Eastern,2018,7,28,452.09,69.16
NorthEastern,2018,7,28,30.1,30.46
Northern,2018,7,29,658.15,314.44
Western,2018,7,29,1097.91,21.91
Southern,2018,7,29,577.65,62.52
Eastern,2018,7,29,452.09,69.16
NorthEastern,2018,7,29,30.1,30.46
Northern,2018,7,30,658.15,314.44
Western,2018,7,30,1095.63,21.91
Southern,2018,7,30,586.15,62.52
Eastern,2018,7,30,452.09,69.16
NorthEastern,2018,7,30,30.1,30.46
Northern,2018,7,31,658.15,314.44
Western,2018,7,31,1106.43,21.91
Southern,2018,7,31,590.15,62.52
Eastern,2018,7,31,464.09,69.16
NorthEastern,2018,7,31,30.1,30.46
Northern,2018,8,1,669.65,327.74
Western,2018,8,1,1094.18,43.32
Southern,2018,8,1,609.71,84.41
Eastern,2018,8,1,443.45,77.99
NorthEastern,2018,8,1,30.1,31.81
Northern,2018,8,2,669.65,327.74
Western,2018,8,2,1104.18,43.32
Southern,2018,8,2,609.71,84.41
Eastern,2018,8,2,444.77,77.99
NorthEastern,2018,8,2,30.1,31.81
Northern,2018,8,3,669.65,327.74
Western,2018,8,3,1107.12,43.32
Southern,2018,8,3,609.71,84.41
Eastern,2018,8,3,444.77,77.99
NorthEastern,2018,8,3,30.1,31.81
Northern,2018,8,4,664.65,327.74
Western,2018,8,4,1107.12,43.32
Southern,2018,8,4,611.32,84.41
Eastern,2018,8,4,448.09,77.99
NorthEastern,2018,8,4,30.1,31.81
Northern,2018,8,5,667.84,327.74
Western,2018,8,5,1101.07,43.32
Southern,2018,8,5,611.32,84.41
Eastern,2018,8,5,444.09,77.99
NorthEastern,2018,8,5,30.1,31.81
Northern,2018,8,6,667.84,327.74
Western,2018,8,6,1106.92,43.32
Southern,2018,8,6,611.32,84.41
Eastern,2018,8,6,445.4,77.99
NorthEastern,2018,8,6,30.1,31.81
Northern,2018,8,7,656.82,327.74
Western,2018,8,7,1106.92,43.32
Southern,2018,8,7,611.32,84.41
Eastern,2018,8,7,445.4,77.99
NorthEastern,2018,8,7,30.1,31.81
Northern,2018,8,8,655.94,327.74
Western,2018,8,8,1106.92,43.32
Southern,2018,8,8,611.32,84.41
Eastern,2018,8,8,445.4,77.99
NorthEastern,2018,8,8,30.1,31.81
Northern,2018,8,9,655.94,327.74
Western,2018,8,9,1117.18,43.32
Southern,2018,8,9,611.32,84.41
Eastern,2018,8,9,445.4,77.99
NorthEastern,2018,8,9,30.1,31.81
Northern,2018,8,10,655.94,327.74
Western,2018,8,10,1111.98,43.32
Southern,2018,8,10,610.87,84.41
Eastern,2018,8,10,430.87,77.99
NorthEastern,2018,8,10,30.1,31.81
Northern,2018,8,11,655.94,327.74
Western,2018,8,11,1127.98,43.32
Southern,2018,8,11,610.87,84.41
Eastern,2018,8,11,430.87,77.99
NorthEastern,2018,8,11,30.1,31.81
Northern,2018,8,12,656.79,327.74
Western,2018,8,12,1127.98,43.32
Southern,2018,8,12,610.87,84.41
Eastern,2018,8,12,430.87,77.99
NorthEastern,2018,8,12,30.1,31.81
Northern,2018,8,13,657.67,327.74
Western,2018,8,13,1127.98,43.32
Southern,2018,8,13,610.87,84.41
Eastern,2018,8,13,430.87,77.99
NorthEastern,2018,8,13,30.1,31.81
Northern,2018,8,14,660.9,327.74
Western,2018,8,14,1127.98,43.32
Southern,2018,8,14,610.87,84.41
Eastern,2018,8,14,430.87,77.99
NorthEastern,2018,8,14,30.1,31.81
Northern,2018,8,15,660.9,327.74
Western,2018,8,15,1136.13,43.32
Southern,2018,8,15,597.37,84.41
Eastern,2018,8,15,423.84,77.99
NorthEastern,2018,8,15,30.1,31.81
Northern,2018,8,16,660.9,327.74
Western,2018,8,16,1135.88,43.32
Southern,2018,8,16,608.87,84.41
Eastern,2018,8,16,423.84,77.99
NorthEastern,2018,8,16,30.1,31.81
Northern,2018,8,17,660.9,327.74
Western,2018,8,17,1133.25,43.32
Southern,2018,8,17,605.37,84.41
Eastern,2018,8,17,423.84,77.99
NorthEastern,2018,8,17,30.1,31.81
Northern,2018,8,18,660.89,327.74
Western,2018,8,18,1147.25,43.32
Southern,2018,8,18,605.37,84.41
Eastern,2018,8,18,423.84,77.99
NorthEastern,2018,8,18,30.1,31.81
Northern,2018,8,19,658.54,327.74
Western,2018,8,19,1162.48,43.32
Southern,2018,8,19,608.83,84.41
Eastern,2018,8,19,423.84,77.99
NorthEastern,2018,8,19,30.1,31.81
Northern,2018,8,20,658.54,327.74
Western,2018,8,20,1159.17,43.32
Southern,2018,8,20,608.83,84.41
Eastern,2018,8,20,413.73,77.99
NorthEastern,2018,8,20,30.1,31.81
Northern,2018,8,21,659.25,327.74
Western,2018,8,21,1151.31,43.32
Southern,2018,8,21,608.83,84.41
Eastern,2018,8,21,415.73,77.99
NorthEastern,2018,8,21,30.1,31.81
Northern,2018,8,22,659.25,327.74
Western,2018,8,22,1163.35,43.32
Southern,2018,8,22,600.07,84.41
Eastern,2018,8,22,415.73,77.99
NorthEastern,2018,8,22,30.1,31.81
Northern,2018,8,23,657.25,327.74
Western,2018,8,23,1145.98,43.32
Southern,2018,8,23,613.62,84.41
Eastern,2018,8,23,419.4,77.99
NorthEastern,2018,8,23,30.1,31.81
Northern,2018,8,24,654.9,327.74
Western,2018,8,24,1141.85,43.32
Southern,2018,8,24,611.57,84.41
Eastern,2018,8,24,419.4,77.99
NorthEastern,2018,8,24,30.1,31.81
Northern,2018,8,25,654.9,327.74
Western,2018,8,25,1147.45,43.32
Southern,2018,8,25,611.57,84.41
Eastern,2018,8,25,419.4,77.99
NorthEastern,2018,8,25,30.1,31.81
Northern,2018,8,26,656.9,327.74
Western,2018,8,26,1150.62,43.32
Southern,2018,8,26,611.57,84.41
Eastern,2018,8,26,424.9,77.99
NorthEastern,2018,8,26,30.1,31.81
Northern,2018,8,27,659.25,327.74
Western,2018,8,27,1160.8,43.32
Southern,2018,8,27,611.57,84.41
Eastern,2018,8,27,424.9,77.99
NorthEastern,2018,8,27,30.1,31.81
Northern,2018,8,28,659.25,327.74
Western,2018,8,28,1161.67,43.32
Southern,2018,8,28,611.57,84.41
Eastern,2018,8,28,423.42,77.99
NorthEastern,2018,8,28,30.1,31.81
Northern,2018,8,29,669.47,327.74
Western,2018,8,29,1161.67,43.32
Southern,2018,8,29,611.57,84.41
Eastern,2018,8,29,423.42,77.99
NorthEastern,2018,8,29,30.1,31.81
Northern,2018,8,30,669.47,327.74
Western,2018,8,30,1189.67,43.32
Southern,2018,8,30,612.02,84.41
Eastern,2018,8,30,423.42,77.99
NorthEastern,2018,8,30,30.1,31.81
Northern,2018,9,1,668.23,257.18
Western,2018,9,1,1166.94,62.03
Southern,2018,9,1,608.37,95.33
Eastern,2018,9,1,418.45,79.0
NorthEastern,2018,9,1,30.22,31.18
Northern,2018,9,2,668.23,257.18
Western,2018,9,2,1166.94,62.03
Southern,2018,9,2,608.37,95.33
Eastern,2018,9,2,418.45,79.0
NorthEastern,2018,9,2,30.22,31.18
Northern,2018,9,3,668.23,257.18
Western,2018,9,3,1166.94,62.03
Southern,2018,9,3,608.37,95.33
Eastern,2018,9,3,418.45,79.0
NorthEastern,2018,9,3,30.22,31.18
Northern,2018,9,4,668.23,257.18
Western,2018,9,4,1170.43,62.03
Southern,2018,9,4,611.63,95.33
Eastern,2018,9,4,418.45,79.0
NorthEastern,2018,9,4,30.22,31.18
Northern,2018,9,5,663.73,257.18
Western,2018,9,5,1170.43,62.03
Southern,2018,9,5,611.63,95.33
Eastern,2018,9,5,433.26,79.0
NorthEastern,2018,9,5,30.22,31.18
Northern,2018,9,6,663.73,257.18
Western,2018,9,6,1170.43,62.03
Southern,2018,9,6,607.63,95.33
Eastern,2018,9,6,433.26,79.0
NorthEastern,2018,9,6,30.22,31.18
Northern,2018,9,7,667.36,257.18
Western,2018,9,7,1170.43,62.03
Southern,2018,9,7,611.13,95.33
Eastern,2018,9,7,433.26,79.0
NorthEastern,2018,9,7,30.22,31.18
Northern,2018,9,8,665.65,257.18
Western,2018,9,8,1159.43,62.03
Southern,2018,9,8,611.13,95.33
Eastern,2018,9,8,433.26,79.0
NorthEastern,2018,9,8,30.22,31.18
Northern,2018,9,9,665.65,257.18
Western,2018,9,9,1150.81,62.03
Southern,2018,9,9,608.0,95.33
Eastern,2018,9,9,433.26,79.0
NorthEastern,2018,9,9,30.22,31.18
Northern,2018,9,10,665.65,257.18
Western,2018,9,10,1150.81,62.03
Southern,2018,9,10,608.0,95.33
Eastern,2018,9,10,428.15,79.0
NorthEastern,2018,9,10,30.22,31.18
Northern,2018,9,11,665.65,257.18
Western,2018,9,11,1154.26,62.03
Southern,2018,9,11,608.0,95.33
Eastern,2018,9,11,431.25,79.0
NorthEastern,2018,9,11,30.22,31.18
Northern,2018,9,12,665.65,257.18
Western,2018,9,12,1154.26,62.03
Southern,2018,9,12,608.0,95.33
Eastern,2018,9,12,431.25,79.0
NorthEastern,2018,9,12,30.22,31.18
Northern,2018,9,13,670.59,257.18
Western,2018,9,13,1154.26,62.03
Southern,2018,9,13,616.72,95.33
Eastern,2018,9,13,431.25,79.0
NorthEastern,2018,9,13,30.22,31.18
Northern,2018,9,14,670.59,257.18
Western,2018,9,14,1156.38,62.03
Southern,2018,9,14,631.14,95.33
Eastern,2018,9,14,449.66,79.0
NorthEastern,2018,9,14,30.22,31.18
Northern,2018,9,15,667.38,257.18
Western,2018,9,15,1166.01,62.03
Southern,2018,9,15,631.14,95.33
Eastern,2018,9,15,449.66,79.0
NorthEastern,2018,9,15,30.22,31.18
Northern,2018,9,16,667.38,257.18
Western,2018,9,16,1168.74,62.03
Southern,2018,9,16,631.14,95.33
Eastern,2018,9,16,456.4,79.0
NorthEastern,2018,9,16,30.22,31.18
Northern,2018,9,17,667.38,257.18
Western,2018,9,17,1168.74,62.03
Southern,2018,9,17,631.14,95.33
Eastern,2018,9,17,456.4,79.0
NorthEastern,2018,9,17,30.22,31.18
Northern,2018,9,18,666.5,257.18
Western,2018,9,18,1166.43,62.03
Southern,2018,9,18,631.14,95.33
Eastern,2018,9,18,456.4,79.0
NorthEastern,2018,9,18,30.22,31.18
Northern,2018,9,19,666.5,257.18
Western,2018,9,19,1169.35,62.03
Southern,2018,9,19,631.14,95.33
Eastern,2018,9,19,456.4,79.0
NorthEastern,2018,9,19,30.22,31.18
Northern,2018,9,20,656.61,257.18
Western,2018,9,20,1169.35,62.03
Southern,2018,9,20,631.14,95.33
Eastern,2018,9,20,456.4,79.0
NorthEastern,2018,9,20,30.22,31.18
Northern,2018,9,21,656.61,257.18
Western,2018,9,21,1169.35,62.03
Southern,2018,9,21,631.54,95.33
Eastern,2018,9,21,456.4,79.0
NorthEastern,2018,9,21,30.22,31.18
Northern,2018,9,22,656.61,257.18
Western,2018,9,22,1189.57,62.03
Southern,2018,9,22,630.87,95.33
Eastern,2018,9,22,456.4,79.0
NorthEastern,2018,9,22,30.22,31.18
Northern,2018,9,23,657.49,257.18
Western,2018,9,23,1189.57,62.03
Southern,2018,9,23,641.37,95.33
Eastern,2018,9,23,456.4,79.0
NorthEastern,2018,9,23,30.22,31.18
Northern,2018,9,24,657.49,257.18
Western,2018,9,24,1189.57,62.03
Southern,2018,9,24,641.37,95.33
Eastern,2018,9,24,456.4,79.0
NorthEastern,2018,9,24,30.22,31.18
Northern,2018,9,25,661.99,257.18
Western,2018,9,25,1192.31,62.03
Southern,2018,9,25,641.37,95.33
Eastern,2018,9,25,462.23,79.0
NorthEastern,2018,9,25,30.22,31.18
Northern,2018,9,26,661.99,257.18
Western,2018,9,26,1213.93,62.03
Southern,2018,9,26,641.37,95.33
Eastern,2018,9,26,462.23,79.0
NorthEastern,2018,9,26,30.22,31.18
Northern,2018,9,27,661.99,257.18
Western,2018,9,27,1213.93,62.03
Southern,2018,9,27,641.37,95.33
Eastern,2018,9,27,466.73,79.0
NorthEastern,2018,9,27,30.22,31.18
Northern,2018,9,28,661.99,257.18
Western,2018,9,28,1213.93,62.03
Southern,2018,9,28,641.37,95.33
Eastern,2018,9,28,466.73,79.0
NorthEastern,2018,9,28,30.22,31.18
Northern,2018,9,29,661.99,257.18
Western,2018,9,29,1213.93,62.03
Southern,2018,9,29,641.37,95.33
Eastern,2018,9,29,466.73,79.0
NorthEastern,2018,9,29,30.22,31.18
Northern,2018,9,30,661.99,257.18
Western,2018,9,30,1213.93,62.03
Southern,2018,9,30,641.37,95.33
Eastern,2018,9,30,467.79,79.0
NorthEastern,2018,9,30,30.22,31.18
Northern,2018,10,1,647.58,153.81
Western,2018,10,1,1221.79,40.2
Southern,2018,10,1,632.48,74.8
Eastern,2018,10,1,485.84,55.26
NorthEastern,2018,10,1,31.58,21.86
Northern,2018,10,2,647.58,153.81
Western,2018,10,2,1232.47,40.2
Southern,2018,10,2,632.48,74.8
Eastern,2018,10,2,485.84,55.26
NorthEastern,2018,10,2,31.58,21.86
Northern,2018,10,3,647.58,153.81
Western,2018,10,3,1232.47,40.2
Southern,2018,10,3,628.48,74.8
Eastern,2018,10,3,485.84,55.26
NorthEastern,2018,10,3,31.58,21.86
Northern,2018,10,4,647.58,153.81
Western,2018,10,4,1232.47,40.2
Southern,2018,10,4,628.48,74.8
Eastern,2018,10,4,485.84,55.26
NorthEastern,2018,10,4,31.58,21.86
Northern,2018,10,5,650.77,153.81
Western,2018,10,5,1232.47,40.2
Southern,2018,10,5,628.48,74.8
Eastern,2018,10,5,485.84,55.26
NorthEastern,2018,10,5,31.58,21.86
Northern,2018,10,6,650.77,153.81
Western,2018,10,6,1232.47,40.2
Southern,2018,10,6,632.56,74.8
Eastern,2018,10,6,485.84,55.26
NorthEastern,2018,10,6,31.58,21.86
Northern,2018,10,7,650.77,153.81
Western,2018,10,7,1232.47,40.2
Southern,2018,10,7,632.56,74.8
Eastern,2018,10,7,485.84,55.26
NorthEastern,2018,10,7,31.58,21.86
Northern,2018,10,8,650.77,153.81
Western,2018,10,8,1246.64,40.2
Southern,2018,10,8,632.56,74.8
Eastern,2018,10,8,485.84,55.26
NorthEastern,2018,10,8,31.58,21.86
Northern,2018,10,9,653.12,153.81
Western,2018,10,9,1246.64,40.2
Southern,2018,10,9,632.56,74.8
Eastern,2018,10,9,485.84,55.26
NorthEastern,2018,10,9,31.58,21.86
Northern,2018,10,10,653.12,153.81
Western,2018,10,10,1246.64,40.2
Southern,2018,10,10,632.56,74.8
Eastern,2018,10,10,485.84,55.26
NorthEastern,2018,10,10,31.58,21.86
Northern,2018,10,11,653.12,153.81
Western,2018,10,11,1246.64,40.2
Southern,2018,10,11,637.18,74.8
Eastern,2018,10,11,485.84,55.26
NorthEastern,2018,10,11,31.58,21.86
Northern,2018,10,12,650.64,153.81
Western,2018,10,12,1246.64,40.2
Southern,2018,10,12,637.78,74.8
Eastern,2018,10,12,485.84,55.26
NorthEastern,2018,10,12,31.58,21.86
Northern,2018,10,13,652.27,153.81
Western,2018,10,13,1250.27,40.2
Southern,2018,10,13,637.78,74.8
Eastern,2018,10,13,481.42,55.26
NorthEastern,2018,10,13,31.58,21.86
Northern,2018,10,14,652.27,153.81
Western,2018,10,14,1250.27,40.2
Southern,2018,10,14,637.78,74.8
Eastern,2018,10,14,481.42,55.26
NorthEastern,2018,10,14,31.58,21.86
Northern,2018,10,15,648.53,153.81
Western,2018,10,15,1250.27,40.2
Southern,2018,10,15,636.21,74.8
Eastern,2018,10,15,481.42,55.26
NorthEastern,2018,10,15,31.58,21.86
Northern,2018,10,16,641.27,153.81
Western,2018,10,16,1250.27,40.2
Southern,2018,10,16,630.12,74.8
Eastern,2018,10,16,481.42,55.26
NorthEastern,2018,10,16,31.58,21.86
Northern,2018,10,17,641.27,153.81
Western,2018,10,17,1250.27,40.2
Southern,2018,10,17,630.12,74.8
Eastern,2018,10,17,484.42,55.26
NorthEastern,2018,10,17,31.58,21.86
Northern,2018,10,18,641.27,153.81
Western,2018,10,18,1250.27,40.2
Southern,2018,10,18,630.12,74.8
Eastern,2018,10,18,484.42,55.26
NorthEastern,2018,10,18,31.58,21.86
Northern,2018,10,19,645.59,153.81
Western,2018,10,19,1247.52,40.2
Southern,2018,10,19,630.12,74.8
Eastern,2018,10,19,484.42,55.26
NorthEastern,2018,10,19,31.58,21.86
Northern,2018,10,20,647.59,153.81
Western,2018,10,20,1247.52,40.2
Southern,2018,10,20,630.12,74.8
Eastern,2018,10,20,484.42,55.26
NorthEastern,2018,10,20,31.58,21.86
Northern,2018,10,21,645.29,153.81
Western,2018,10,21,1247.52,40.2
Southern,2018,10,21,630.42,74.8
Eastern,2018,10,21,484.42,55.26
NorthEastern,2018,10,21,31.58,21.86
Northern,2018,10,22,645.29,153.81
Western,2018,10,22,1247.52,40.2
Southern,2018,10,22,630.42,74.8
Eastern,2018,10,22,484.42,55.26
NorthEastern,2018,10,22,31.58,21.86
Northern,2018,10,23,645.66,153.81
Western,2018,10,23,1247.52,40.2
Southern,2018,10,23,630.42,74.8
Eastern,2018,10,23,484.42,55.26
NorthEastern,2018,10,23,31.58,21.86
Northern,2018,10,24,646.14,153.81
Western,2018,10,24,1247.52,40.2
Southern,2018,10,24,630.42,74.8
Eastern,2018,10,24,484.42,55.26
NorthEastern,2018,10,24,31.58,21.86
Northern,2018,10,25,646.14,153.81
Western,2018,10,25,1247.52,40.2
Southern,2018,10,25,633.56,74.8
Eastern,2018,10,25,484.42,55.26
NorthEastern,2018,10,25,31.58,21.86
Northern,2018,10,26,646.14,153.81
Western,2018,10,26,1258.44,40.2
Southern,2018,10,26,646.73,74.8
Eastern,2018,10,26,484.42,55.26
NorthEastern,2018,10,26,31.58,21.86
Northern,2018,10,27,646.14,153.81
Western,2018,10,27,1258.44,40.2
Southern,2018,10,27,646.73,74.8
Eastern,2018,10,27,484.42,55.26
NorthEastern,2018,10,27,31.58,21.86
Northern,2018,10,28,646.14,153.81
Western,2018,10,28,1258.44,40.2
Southern,2018,10,28,646.73,74.8
Eastern,2018,10,28,484.42,55.26
NorthEastern,2018,10,28,31.58,21.86
Northern,2018,10,29,648.71,153.81
Western,2018,10,29,1262.44,40.2
Southern,2018,10,29,646.73,74.8
Eastern,2018,10,29,482.31,55.26
NorthEastern,2018,10,29,31.58,21.86
